Product ID,Product Name,Company,Cost Price 
PROD131,Apple Watch,Canon,81
PROD132,Samsung Galaxy S22,Apple,100
PROD133,Dell Laptop,Nike,80
PROD134,Philips Air Fryer,Apple,42
PROD135,Adidas Sneakers,Asus,23
PROD136,Adidas Sneakers,Asus,57
PROD137,IKEA Chair,Adidas,86
PROD138,Apple Watch,Asus,4
PROD139,Fitbit Tracker,Apple,69
PROD140,iPhone 14,Canon,17
PROD141,IKEA Chair,Samsung,4
PROD142,Sony Headphones,Asus,78
PROD143,Samsung Galaxy S22,Lego,64
PROD144,HP Printer,Fitbit,10
PROD145,Apple Watch,Nike,63
PROD146,Samsung Galaxy S22,Adidas,66
PROD147,iPhone 14,Samsung,53
PROD148,HP Printer,Dell,8
PROD149,Lego Star Wars Set,Rolex,20
PROD150,Samsung Galaxy S22,Dell,10
PROD151,Rolex Watch,Sony,76
PROD152,Sony Headphones,Lego,13
PROD153,Fitbit Tracker,HP,21
PROD154,Nike Running Shoes,Panasonic,6
PROD155,Samsung Galaxy S22,Asus,86
PROD156,Canon DSLR,HP,57
PROD157,Dyson Vacuum Cleaner,KitchenAid,91
PROD158,iPhone 14,Apple,32
PROD159,Nike Running Shoes,Rolex,67
PROD160,IKEA Chair,LG,50
PROD161,Rolex Watch,Rolex,69
PROD162,Apple Watch,Philips,52
PROD163,Canon DSLR,Canon,87
PROD164,LG OLED TV,Asus,71
PROD165,Rolex Watch,Fitbit,26
PROD166,Samsung Refrigerator,LG,29
PROD167,Nike Running Shoes,HP,99
PROD168,Dyson Vacuum Cleaner,Panasonic,89
PROD169,Adidas Sneakers,Lego,61
PROD170,Apple Watch,HP,20
PROD171,Nike Running Shoes,Levi’s,16
PROD172,Fitbit Tracker,KitchenAid,50
PROD173,Rolex Watch,HP,53
PROD174,Samsung Refrigerator,Dyson,25
PROD175,Fitbit Tracker,IKEA,97
PROD176,Canon DSLR,Adidas,82
PROD177,HP Printer,IKEA,43
PROD178,Dell Laptop,HP,98
PROD179,Philips Air Fryer,Adidas,73
PROD180,LG OLED TV,KitchenAid,11
PROD181,Adidas Sneakers,Canon,80
PROD182,Dell Laptop,HP,39
PROD183,Sony Headphones,Rolex,97
PROD184,KitchenAid Mixer,Sony,25
PROD185,Samsung Galaxy S22,Philips,14
PROD186,Nike Running Shoes,Bose,10
PROD187,Dell Laptop,Philips,52
PROD188,Nike Running Shoes,Panasonic,36
PROD189,Sony Headphones,Levi’s,9
PROD190,KitchenAid Mixer,Dyson,63
PROD191,IKEA Chair,Lego,67
PROD192,HP Printer,Dyson,75
PROD193,Samsung Refrigerator,Dell,98
PROD194,IKEA Chair,Panasonic,77
PROD195,LG OLED TV,Nike,88
PROD196,IKEA Chair,Canon,55
PROD197,KitchenAid Mixer,Dell,11
PROD198,Dell Laptop,LG,57
PROD199,Dell Laptop,Lego,42
PROD200,Sony Headphones,Levi’s,31
