Order ID,Date and Time,Product ID,Customer ID,Category,Payment Method,Selling Price,Quantity
ORD56,02-08-2024 00:12,PROD173,CUST122,Home Appliances,Cash,1294.29,4
ORD57,4/15/24 9:57,PROD144,CUST588,Fashion,Credit Card,324.85,7
ORD58,10/14/24 14:21,PROD123,CUST991,Home Appliances,Bank Transfer,916.41,5
ORD59,07-04-2024 04:35,PROD21,CUST491,Fashion,Credit Card,1620.94,9
ORD60,9/15/24 23:01,PROD78,CUST226,Books,Cash,160.72,10
ORD61,04-10-2024 15:31,PROD188,CUST786,Electronics,Credit Card,1025.94,10
ORD62,06-03-2024 02:04,PROD143,CUST673,Home Appliances,PayPal,1618.77,9
ORD63,02-01-2024 21:28,PROD41,CUST786,Fashion,Debit Card,913.73,6
ORD64,02-12-2024 19:51,PROD26,CUST201,Toys,Debit Card,887.44,2
ORD65,02-02-2024 06:08,PROD6,CUST897,Books,Debit Card,1278.99,3
ORD66,6/29/24 16:24,PROD72,CUST108,Books,Debit Card,1051.32,7
ORD67,07-05-2024 12:48,PROD173,CUST740,Toys,Credit Card,597.81,8
ORD68,3/15/24 8:54,PROD30,CUST400,Books,Bank Transfer,134.94,1
ORD69,1/29/24 5:32,PROD32,CUST845,Toys,Credit Card,1943.12,9
ORD70,11/13/24 6:00,PROD114,CUST257,Books,Debit Card,877.8,9
ORD71,07-08-2024 04:04,PROD171,CUST744,Toys,Cash,836.04,4
ORD72,5/21/24 9:11,PROD69,CUST626,Toys,Cash,1260.67,3
ORD73,9/18/24 6:20,PROD113,CUST411,Electronics,Bank Transfer,1247.45,3
ORD74,10-09-2024 23:37,PROD35,CUST611,Books,PayPal,1300.53,3
ORD75,3/27/24 0:26,PROD104,CUST207,Books,PayPal,1621.04,2
ORD76,9/28/24 13:05,PROD108,CUST82,Electronics,Credit Card,759.16,4
ORD77,10/17/24 7:22,PROD3,CUST779,Toys,Debit Card,1898.09,9
ORD78,4/15/24 5:29,PROD71,CUST563,Books,Bank Transfer,809.82,1
ORD79,11/15/24 17:52,PROD77,CUST468,Electronics,Cash,706.3,5
ORD80,01-07-2024 21:27,PROD186,CUST552,Fashion,Debit Card,1923.24,4
ORD81,02-07-2024 12:08,PROD192,CUST131,Home Appliances,PayPal,1450.71,4
ORD82,07-03-2024 09:28,PROD192,CUST601,Home Appliances,Credit Card,881.52,4
ORD83,01-04-2024 00:18,PROD164,CUST192,Electronics,Cash,1055.17,2
ORD84,05-04-2024 02:28,PROD198,CUST396,Electronics,Credit Card,953.78,5
ORD85,01-03-2024 02:41,PROD40,CUST992,Toys,Debit Card,1164.59,2
ORD86,10-11-2024 21:08,PROD120,CUST905,Books,Bank Transfer,255.19,6
ORD87,02-11-2024 17:55,PROD55,CUST409,Fashion,Bank Transfer,1632.82,7
ORD88,04-02-2024 01:01,PROD90,CUST856,Electronics,Bank Transfer,944.06,10
ORD89,3/30/24 11:50,PROD193,CUST95,Electronics,Debit Card,1886.52,9
ORD90,6/26/24 11:02,PROD34,CUST722,Toys,PayPal,1595.73,6
ORD91,05-08-2024 11:11,PROD175,CUST18,Home Appliances,Credit Card,134.24,3
ORD92,2/14/24 16:55,PROD183,CUST709,Toys,Debit Card,391,10
ORD93,07-04-2024 23:09,PROD96,CUST264,Electronics,Cash,1741.35,7
ORD94,3/23/24 9:34,PROD60,CUST321,Toys,Credit Card,329.85,5
ORD95,5/16/24 22:32,PROD75,CUST258,Home Appliances,Bank Transfer,603.36,1
ORD96,7/24/24 10:46,PROD18,CUST882,Fashion,Debit Card,1535.46,4
ORD97,10/30/24 14:06,PROD21,CUST536,Fashion,Cash,482.64,4
ORD98,3/20/24 18:20,PROD83,CUST395,Toys,PayPal,1056.31,5
ORD99,10/27/24 3:05,PROD168,CUST562,Electronics,Bank Transfer,1664.34,10
ORD100,10/19/24 9:03,PROD95,CUST82,Fashion,Cash,992.31,4
ORD101,05-09-2024 17:31,PROD132,CUST812,Fashion,PayPal,81.72,6
ORD102,5/26/24 8:50,PROD100,CUST419,Fashion,Bank Transfer,1629.08,5
ORD103,08-03-2024 04:47,PROD143,CUST687,Home Appliances,Bank Transfer,1277.89,8
ORD104,4/15/24 17:02,PROD135,CUST6,Fashion,Bank Transfer,1476.86,9
ORD105,5/28/24 6:22,PROD190,CUST46,Books,PayPal,1377.37,9
ORD106,5/14/24 11:57,PROD71,CUST224,Books,Credit Card,503.98,5
ORD107,11-06-2024 11:31,PROD34,CUST436,Toys,Debit Card,1990.47,4
ORD108,5/22/24 5:09,PROD196,CUST241,Books,Debit Card,903.22,5
ORD109,06-04-2024 07:25,PROD52,CUST859,Fashion,Credit Card,241.65,10
ORD110,5/30/24 23:59,PROD65,CUST997,Home Appliances,PayPal,183.84,6
ORD111,4/22/24 11:34,PROD155,CUST719,Home Appliances,Bank Transfer,43.63,1
ORD112,9/23/24 2:13,PROD15,CUST989,Home Appliances,Cash,826.13,5
ORD113,10-11-2024 13:41,PROD47,CUST243,Home Appliances,Cash,277.84,3
ORD114,9/25/24 9:54,PROD107,CUST948,Fashion,Credit Card,1184.99,10
ORD115,07-03-2024 02:55,PROD120,CUST967,Toys,PayPal,972.57,6
ORD116,3/13/24 13:01,PROD172,CUST489,Toys,Debit Card,25.25,4
ORD117,01-07-2024 17:45,PROD96,CUST591,Fashion,PayPal,565.68,7
ORD118,8/17/24 15:28,PROD152,CUST162,Books,Cash,1820.55,4
ORD119,03-04-2024 14:39,PROD166,CUST860,Electronics,Debit Card,271.81,5
ORD120,1/20/24 10:55,PROD77,CUST747,Toys,Debit Card,849.42,3
ORD121,1/31/24 7:02,PROD193,CUST320,Fashion,Credit Card,1927.18,3
ORD122,1/28/24 2:13,PROD55,CUST111,Fashion,Credit Card,675.91,10
ORD123,10-05-2024 00:25,PROD64,CUST445,Electronics,Credit Card,796,2
ORD124,07-12-2024 06:42,PROD1,CUST125,Electronics,Cash,1983.51,5
ORD125,08-12-2024 17:02,PROD98,CUST898,Electronics,PayPal,1305.11,2
ORD126,02-10-2024 14:27,PROD8,CUST258,Fashion,Debit Card,553.61,4
ORD127,4/15/24 11:59,PROD1,CUST681,Books,Credit Card,601.86,4
ORD128,08-02-2024 00:22,PROD30,CUST661,Home Appliances,Debit Card,733.93,3
ORD129,09-08-2024 19:52,PROD36,CUST335,Home Appliances,PayPal,1241.06,5
ORD130,10-10-2024 01:58,PROD196,CUST229,Electronics,Cash,1933.11,3
ORD131,10-05-2024 07:03,PROD123,CUST883,Electronics,PayPal,1894.27,5
ORD132,2/26/24 23:57,PROD174,CUST115,Electronics,Credit Card,122.12,1
ORD133,11/14/24 6:56,PROD120,CUST579,Fashion,PayPal,1845.77,5
ORD134,7/20/24 22:31,PROD190,CUST135,Books,PayPal,678.51,10
ORD135,10-01-2024 09:43,PROD154,CUST901,Home Appliances,Debit Card,1732.78,9
ORD136,07-07-2024 12:38,PROD70,CUST473,Fashion,PayPal,635.29,2
ORD137,1/25/24 4:27,PROD95,CUST563,Books,Credit Card,117.17,5
ORD138,2/15/24 1:20,PROD5,CUST586,Electronics,Credit Card,1143.42,1
ORD139,08-05-2024 18:31,PROD36,CUST345,Home Appliances,Debit Card,1053.99,1
ORD140,7/30/24 6:44,PROD14,CUST969,Toys,Cash,1738.68,6
ORD141,5/29/24 10:10,PROD82,CUST388,Fashion,Cash,1530.92,3
ORD142,07-09-2024 08:17,PROD163,CUST731,Toys,Cash,1364.7,7
ORD143,02-10-2024 19:22,PROD162,CUST18,Home Appliances,PayPal,1506.84,9
ORD144,9/13/24 23:22,PROD149,CUST734,Fashion,Cash,1811.61,8
ORD145,7/20/24 11:53,PROD9,CUST755,Fashion,Bank Transfer,1142.15,9
ORD146,2/29/24 13:35,PROD186,CUST483,Electronics,Bank Transfer,405.03,1
ORD147,07-07-2024 07:57,PROD73,CUST331,Books,PayPal,1478.35,7
ORD148,10-05-2024 01:34,PROD20,CUST901,Electronics,Cash,686.05,2
ORD149,8/15/24 0:32,PROD115,CUST37,Home Appliances,Debit Card,821.43,1
ORD150,7/29/24 10:53,PROD69,CUST589,Fashion,Bank Transfer,864.33,8
ORD151,7/28/24 5:04,PROD132,CUST584,Electronics,Bank Transfer,47.18,4
ORD152,3/13/24 8:18,PROD75,CUST377,Fashion,Credit Card,1780.66,10
ORD153,02-06-2024 01:56,PROD33,CUST424,Books,PayPal,1670.92,8
ORD154,01-11-2024 04:30,PROD166,CUST354,Books,Debit Card,1378.79,9
ORD155,8/14/24 2:05,PROD104,CUST987,Fashion,Credit Card,225.07,7
ORD156,8/14/24 7:59,PROD68,CUST817,Books,PayPal,1762.46,5
ORD157,11/15/24 13:50,PROD33,CUST833,Toys,Debit Card,1372.08,3
ORD158,6/29/24 15:49,PROD51,CUST637,Fashion,Debit Card,1351.48,4
ORD159,5/31/24 5:19,PROD87,CUST143,Home Appliances,Bank Transfer,632.05,3
ORD160,05-12-2024 12:33,PROD87,CUST713,Toys,Cash,51.94,7
ORD161,10-02-2024 17:35,PROD43,CUST129,Home Appliances,PayPal,1490.48,2
ORD162,1/24/24 16:16,PROD146,CUST646,Toys,Bank Transfer,1097.97,1
ORD163,11-05-2024 23:45,PROD129,CUST495,Toys,PayPal,496.37,1
ORD164,9/28/24 8:13,PROD143,CUST743,Books,Credit Card,892.94,3
ORD165,8/22/24 14:38,PROD138,CUST600,Toys,Debit Card,1912.26,10
ORD166,05-10-2024 08:23,PROD31,CUST930,Electronics,Debit Card,1249.53,8
ORD167,5/14/24 5:23,PROD140,CUST920,Books,Credit Card,507.82,6
ORD168,4/26/24 12:12,PROD23,CUST75,Home Appliances,Bank Transfer,1480.49,7
ORD169,5/31/24 2:13,PROD2,CUST287,Home Appliances,Bank Transfer,458.77,9
ORD170,03-10-2024 19:20,PROD115,CUST195,Books,Credit Card,1790.4,6
ORD171,02-02-2024 00:40,PROD126,CUST383,Home Appliances,PayPal,941.45,7
ORD172,04-11-2024 18:33,PROD166,CUST124,Fashion,PayPal,1757.7,5
ORD173,7/18/24 15:04,PROD37,CUST506,Electronics,PayPal,1765.25,7
ORD174,3/28/24 0:46,PROD168,CUST662,Books,Bank Transfer,1466.9,1
ORD175,06-11-2024 23:43,PROD80,CUST507,Toys,Bank Transfer,628.44,6
ORD176,2/26/24 19:04,PROD69,CUST611,Electronics,PayPal,525.04,5
ORD177,01-02-2024 17:46,PROD124,CUST848,Electronics,Bank Transfer,879.01,4
ORD178,01-10-2024 19:43,PROD160,CUST190,Toys,PayPal,452.38,9
ORD179,3/25/24 12:57,PROD17,CUST20,Fashion,PayPal,1980.05,4
ORD180,09-06-2024 03:01,PROD112,CUST845,Toys,Bank Transfer,1650.05,4
ORD181,4/25/24 21:43,PROD29,CUST386,Toys,Debit Card,1520.15,4
ORD182,11-05-2024 06:51,PROD166,CUST694,Toys,PayPal,1073.96,9
ORD183,3/26/24 15:52,PROD65,CUST992,Electronics,Debit Card,890.4,5
ORD184,6/21/24 5:33,PROD136,CUST574,Books,Cash,199.51,9
ORD185,2/18/24 17:43,PROD21,CUST330,Toys,Debit Card,1251.06,9
ORD186,11-03-2024 15:16,PROD190,CUST914,Fashion,Credit Card,305.73,8
ORD187,4/30/24 12:00,PROD59,CUST434,Electronics,Bank Transfer,509.43,1
ORD188,9/19/24 7:59,PROD174,CUST980,Electronics,Cash,1392.01,1
ORD189,05-05-2024 20:16,PROD152,CUST502,Toys,Credit Card,756.71,10
ORD190,1/18/24 5:05,PROD95,CUST793,Home Appliances,PayPal,201.98,2
ORD191,05-02-2024 19:03,PROD5,CUST526,Home Appliances,Bank Transfer,952.6,2
ORD192,01-11-2024 05:10,PROD105,CUST695,Home Appliances,Debit Card,1647.55,9
ORD193,7/30/24 23:10,PROD148,CUST782,Fashion,Credit Card,1577.91,9
ORD194,07-07-2024 23:11,PROD127,CUST430,Fashion,Debit Card,1272.71,4
ORD195,08-12-2024 08:34,PROD185,CUST222,Home Appliances,Debit Card,448.39,10
ORD196,04-09-2024 17:10,PROD154,CUST23,Fashion,PayPal,1312.54,10
ORD197,6/25/24 14:45,PROD18,CUST65,Fashion,Cash,1361.57,5
ORD198,07-08-2024 04:10,PROD94,CUST236,Toys,PayPal,1682.07,9
ORD199,2/13/24 6:59,PROD101,CUST889,Toys,Bank Transfer,39.85,7
ORD200,5/30/24 18:33,PROD171,CUST460,Fashion,PayPal,380.36,7
ORD201,10-02-2024 00:32,PROD15,CUST706,Home Appliances,Debit Card,1290.65,5
ORD202,08-10-2024 03:42,PROD15,CUST988,Toys,Cash,937.14,7
ORD203,05-07-2024 17:45,PROD94,CUST291,Electronics,Cash,1805.79,5
ORD204,06-07-2024 03:17,PROD8,CUST170,Electronics,Cash,1163.06,1
ORD205,06-01-2024 16:34,PROD115,CUST9,Electronics,Cash,1479.15,9
ORD206,08-08-2024 22:38,PROD4,CUST69,Home Appliances,PayPal,1081.28,9
ORD207,4/18/24 16:27,PROD166,CUST904,Books,PayPal,638.74,1
ORD208,11-03-2024 18:01,PROD95,CUST535,Toys,Cash,681.3,7
ORD209,7/18/24 23:13,PROD51,CUST992,Books,Cash,1331.3,4
ORD210,7/22/24 23:55,PROD109,CUST415,Home Appliances,Debit Card,134,9
ORD211,10/25/24 1:19,PROD159,CUST873,Toys,Debit Card,580.64,3
ORD212,3/22/24 14:07,PROD118,CUST728,Home Appliances,Bank Transfer,214.89,10
ORD213,9/18/24 13:01,PROD144,CUST80,Electronics,Debit Card,811.03,10
ORD214,1/15/24 0:56,PROD99,CUST302,Home Appliances,Debit Card,1979.09,10
ORD215,5/13/24 12:53,PROD188,CUST73,Electronics,Cash,39.17,8
ORD216,9/14/24 5:12,PROD155,CUST603,Home Appliances,PayPal,471.54,2
ORD217,11-09-2024 06:07,PROD152,CUST90,Books,Cash,1977.84,6
ORD218,11-01-2024 19:28,PROD63,CUST776,Books,Cash,1081.68,6
ORD219,3/15/24 6:48,PROD136,CUST893,Electronics,Debit Card,1654.26,9
ORD220,4/25/24 0:21,PROD152,CUST657,Books,PayPal,277.88,4
ORD221,02-06-2024 22:16,PROD157,CUST696,Home Appliances,Cash,370.05,10
ORD222,3/30/24 13:54,PROD159,CUST651,Electronics,Credit Card,754.66,4
ORD223,05-12-2024 21:10,PROD123,CUST319,Electronics,Credit Card,1683.65,7
ORD224,2/22/24 7:02,PROD139,CUST974,Toys,Debit Card,1713.12,5
ORD225,6/28/24 2:38,PROD155,CUST474,Toys,PayPal,1855.85,9
ORD226,7/13/24 5:51,PROD64,CUST82,Fashion,Debit Card,1543.88,10
ORD227,07-12-2024 09:47,PROD30,CUST872,Toys,Credit Card,1334.17,1
ORD228,10/29/24 21:20,PROD63,CUST379,Fashion,Credit Card,1398.98,1
ORD229,2/25/24 11:55,PROD58,CUST140,Toys,Bank Transfer,1961.65,2
ORD230,03-10-2024 11:32,PROD6,CUST905,Fashion,Credit Card,1050.55,8
ORD231,6/15/24 3:41,PROD181,CUST52,Fashion,Debit Card,143.61,2
ORD232,1/31/24 22:30,PROD196,CUST338,Toys,Credit Card,220.26,5
ORD233,07-11-2024 20:35,PROD105,CUST461,Home Appliances,Cash,1318.93,3
ORD234,9/24/24 11:51,PROD36,CUST675,Toys,Bank Transfer,947.76,5
ORD235,02-06-2024 16:00,PROD18,CUST621,Toys,PayPal,1955.99,6
ORD236,8/20/24 17:01,PROD64,CUST988,Electronics,Debit Card,306.68,7
ORD237,02-09-2024 00:07,PROD189,CUST39,Fashion,Cash,1957.58,10
ORD238,10-11-2024 19:54,PROD96,CUST691,Electronics,Debit Card,1461.16,6
ORD239,3/28/24 17:17,PROD51,CUST847,Books,PayPal,1878.16,10
ORD240,2/13/24 0:10,PROD154,CUST910,Home Appliances,Debit Card,788.45,7
ORD241,01-05-2024 18:03,PROD39,CUST188,Home Appliances,Cash,1913.51,7
ORD242,10-11-2024 10:16,PROD161,CUST770,Home Appliances,Debit Card,1345.22,5
ORD243,5/24/24 15:45,PROD190,CUST319,Toys,Cash,625.87,4
ORD244,7/20/24 21:54,PROD43,CUST735,Electronics,Bank Transfer,127.27,5
ORD245,6/28/24 21:15,PROD87,CUST91,Toys,Debit Card,137.05,9
ORD246,4/22/24 22:02,PROD67,CUST503,Books,Debit Card,924.08,7
ORD247,8/14/24 5:44,PROD10,CUST841,Home Appliances,Cash,1114.89,7
ORD248,7/13/24 18:04,PROD166,CUST105,Fashion,PayPal,1500.14,10
ORD249,4/17/24 7:02,PROD171,CUST756,Electronics,Debit Card,952.28,8
ORD250,03-02-2024 16:19,PROD86,CUST949,Electronics,Cash,1167.16,4
ORD251,10/24/24 0:15,PROD93,CUST482,Toys,PayPal,1769.89,7
ORD252,10-01-2024 20:45,PROD11,CUST451,Fashion,Debit Card,659.34,1
ORD253,2/24/24 1:27,PROD124,CUST346,Electronics,Credit Card,38.53,10
ORD254,06-06-2024 03:00,PROD32,CUST652,Toys,Bank Transfer,986.56,9
ORD255,08-07-2024 06:09,PROD164,CUST252,Fashion,Debit Card,164.02,2
ORD256,1/15/24 18:01,PROD50,CUST309,Toys,Credit Card,434.55,4
ORD257,6/22/24 9:11,PROD103,CUST572,Home Appliances,Debit Card,1324.57,6
ORD258,04-06-2024 10:09,PROD42,CUST632,Fashion,Debit Card,548.2,10
ORD259,01-06-2024 15:36,PROD41,CUST297,Home Appliances,Cash,318.49,7
ORD260,02-02-2024 00:19,PROD139,CUST200,Electronics,Cash,1459.57,8
ORD261,1/16/24 18:23,PROD96,CUST812,Fashion,Cash,275.94,3
ORD262,11-11-2024 10:53,PROD190,CUST102,Electronics,Credit Card,1975.44,9
ORD263,02-04-2024 14:59,PROD199,CUST226,Home Appliances,Credit Card,1035.48,8
ORD264,9/19/24 0:30,PROD88,CUST417,Electronics,PayPal,1733.85,5
ORD265,11-06-2024 14:30,PROD48,CUST656,Electronics,Debit Card,411.73,1
ORD266,09-05-2024 23:22,PROD124,CUST195,Books,Bank Transfer,444.72,6
ORD267,05-04-2024 05:36,PROD89,CUST491,Fashion,Debit Card,1540.96,5
ORD268,05-02-2024 14:03,PROD142,CUST427,Home Appliances,Credit Card,1254.9,7
ORD269,03-02-2024 15:01,PROD112,CUST551,Books,Cash,818.7,10
ORD270,06-07-2024 02:59,PROD41,CUST759,Books,PayPal,1332.18,6
ORD271,06-05-2024 14:40,PROD107,CUST466,Toys,Credit Card,730.12,5
ORD272,05-09-2024 20:48,PROD129,CUST844,Home Appliances,Debit Card,378.25,2
ORD273,8/23/24 3:38,PROD90,CUST176,Fashion,Credit Card,1124.59,4
ORD274,07-08-2024 21:30,PROD6,CUST88,Toys,Cash,1693.15,3
ORD275,1/28/24 6:43,PROD104,CUST154,Home Appliances,Bank Transfer,565.09,9
ORD276,6/19/24 23:24,PROD112,CUST379,Fashion,Debit Card,175.3,7
ORD277,1/26/24 16:37,PROD36,CUST838,Home Appliances,PayPal,448.25,3
ORD278,9/27/24 1:43,PROD134,CUST432,Toys,Bank Transfer,771.57,7
ORD279,6/16/24 8:36,PROD78,CUST391,Books,Bank Transfer,602.24,7
ORD280,8/15/24 7:54,PROD25,CUST791,Home Appliances,Credit Card,392.32,9
ORD281,05-06-2024 19:30,PROD185,CUST685,Electronics,Bank Transfer,1543.07,4
ORD282,9/16/24 20:38,PROD105,CUST148,Toys,Bank Transfer,228.18,4
ORD283,05-11-2024 01:53,PROD165,CUST493,Home Appliances,Bank Transfer,869.46,4
ORD284,5/19/24 11:21,PROD41,CUST63,Fashion,Debit Card,1732.2,8
ORD285,06-09-2024 14:49,PROD12,CUST738,Fashion,Cash,175.39,10
ORD286,4/24/24 16:06,PROD196,CUST385,Toys,Debit Card,700.08,1
ORD287,4/29/24 4:10,PROD156,CUST256,Home Appliances,Debit Card,1280.96,1
ORD288,1/28/24 2:17,PROD197,CUST677,Books,Bank Transfer,1615.62,6
ORD289,1/19/24 5:45,PROD84,CUST209,Toys,Bank Transfer,1218.26,10
ORD290,2/26/24 22:46,PROD6,CUST529,Toys,Bank Transfer,133.26,7
ORD291,10-08-2024 05:36,PROD63,CUST386,Electronics,PayPal,537.76,7
ORD292,08-08-2024 23:32,PROD176,CUST852,Toys,Bank Transfer,358.86,3
ORD293,01-03-2024 05:42,PROD191,CUST697,Electronics,Bank Transfer,1462.21,6
ORD294,01-04-2024 10:39,PROD142,CUST229,Electronics,Bank Transfer,440.69,5
ORD295,11-01-2024 14:54,PROD44,CUST238,Books,PayPal,1575.4,4
ORD296,08-07-2024 15:51,PROD118,CUST919,Fashion,Cash,916.73,5
ORD297,09-12-2024 16:02,PROD176,CUST960,Fashion,Debit Card,1456.23,2
ORD298,8/19/24 19:13,PROD59,CUST170,Fashion,Bank Transfer,957.33,4
ORD299,01-10-2024 03:16,PROD48,CUST109,Electronics,Credit Card,826.54,6
ORD300,7/23/24 15:08,PROD7,CUST986,Books,Cash,1775.9,6
ORD301,06-05-2024 07:02,PROD144,CUST824,Electronics,Cash,1380.41,8
ORD302,08-09-2024 11:44,PROD68,CUST926,Fashion,Debit Card,800.18,10
ORD303,1/23/24 11:27,PROD148,CUST348,Home Appliances,PayPal,657.3,7
ORD304,3/15/24 11:02,PROD24,CUST130,Books,Cash,1583.02,3
ORD305,01-10-2024 21:55,PROD27,CUST58,Home Appliances,Debit Card,343.38,6
ORD306,4/26/24 6:09,PROD52,CUST955,Books,Debit Card,867.07,2
ORD307,1/19/24 4:26,PROD116,CUST63,Fashion,Credit Card,1320.68,8
ORD308,10/25/24 23:44,PROD33,CUST625,Fashion,PayPal,1614.99,3
ORD309,8/23/24 11:30,PROD168,CUST813,Home Appliances,Cash,322.06,5
ORD310,10/21/24 10:29,PROD61,CUST138,Home Appliances,Credit Card,1254.66,8
ORD311,8/31/24 15:29,PROD52,CUST944,Electronics,PayPal,859.03,3
ORD312,07-01-2024 00:17,PROD31,CUST994,Fashion,PayPal,1840.92,3
ORD313,6/26/24 14:18,PROD80,CUST611,Books,PayPal,1232.54,1
ORD314,09-06-2024 10:31,PROD66,CUST678,Home Appliances,Credit Card,1260.37,8
ORD315,02-02-2024 23:23,PROD200,CUST474,Fashion,PayPal,62.92,2
ORD316,5/19/24 20:55,PROD90,CUST369,Home Appliances,Bank Transfer,928.38,6
ORD317,1/13/24 22:11,PROD56,CUST575,Home Appliances,Bank Transfer,241.4,1
ORD318,9/13/24 16:11,PROD145,CUST296,Books,Credit Card,517.88,5
ORD319,10-10-2024 09:40,PROD175,CUST797,Books,Credit Card,1146.25,7
ORD320,11-05-2024 01:05,PROD199,CUST687,Home Appliances,PayPal,700.7,8
ORD321,04-10-2024 13:23,PROD26,CUST869,Fashion,Debit Card,385.76,8
ORD322,5/20/24 1:14,PROD37,CUST141,Fashion,Bank Transfer,1419.28,1
ORD323,3/15/24 2:57,PROD60,CUST416,Fashion,Debit Card,1938.1,1
ORD324,09-10-2024 10:07,PROD132,CUST511,Home Appliances,Cash,1696.81,10
ORD325,8/21/24 23:34,PROD95,CUST177,Books,Debit Card,205.32,8
ORD326,10/30/24 10:04,PROD26,CUST734,Fashion,Credit Card,1403.67,10
